rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4651596300,78.8,-2237999290,-32.5,11558777890,441550,-246856,-35.9,1131210,2222,8848,2026-07-30,2026-08-09 10:17:38
2,0,OLD,20233219,호프,2026-07-15,664607620,11.3,-167354530,-20.1,40838959980,67623,-20269,-23.1,3774735,1026,2954,2026-07-30,2026-08-09 10:17:38
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,187815260,3.2,-4529040,-2.4,6533687660,20610,-1045,-4.8,648695,690,1067,2026-07-30,2026-08-09 10:17:38
4,0,OLD,20259946,모아나,2026-07-08,110943350,1.9,9949830,9.9,10265936680,11882,780,7.0,962825,486,707,2026-07-30,2026-08-09 10:17:38
5,0,OLD,20259781,토이 스토리 5,2026-06-17,94315820,1.6,9671600,11.4,29634052740,9967,736,8.0,2880336,358,435,2026-07-30,2026-08-09 10:17:38
6,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,39247920,0.7,4232620,12.1,77007220,3913,219,5.9,7999,52,80,2026-07-30,2026-08-09 10:17:38
7,0,OLD,20262902,다윗,2026-07-10,36130800,0.6,2267260,6.7,2324549920,3836,167,4.6,238365,150,166,2026-07-30,2026-08-09 10:17:38
8,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,29428220,0.5,7070820,31.6,332169870,3444,922,36.6,37277,238,250,2026-07-30,2026-08-09 10:17:38
9,0,OLD,20242402,눈동자,2026-06-24,26757600,0.5,2587340,10.7,15782624650,2680,192,7.7,1530013,220,261,2026-07-30,2026-08-09 10:17:38
10,1,OLD,20257100,산양들,2026-07-29,9096050,0.2,1267050,16.2,24172050,1118,230,25.9,2827,39,51,2026-07-30,2026-08-09 10:17:38
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,5793484750,79.4,1141888450,24.5,17352262640,526066,84516,19.1,1657276,2275,9373,2026-07-31,2026-08-09 10:17:37
2,0,OLD,20233219,호프,2026-07-15,835668800,11.4,171061180,25.7,41674628780,81496,13873,20.5,3856231,1005,2980,2026-07-31,2026-08-09 10:17:37
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,190221930,2.6,2406670,1.3,6723909590,20042,-568,-2.8,668737,726,1110,2026-07-31,2026-08-09 10:17:37
4,0,OLD,20259946,모아나,2026-07-08,112605600,1.5,1662250,1.5,10378542280,11630,-252,-2.1,974455,480,705,2026-07-31,2026-08-09 10:17:37
5,0,OLD,20259781,토이 스토리 5,2026-06-17,102040720,1.4,7724900,8.2,29736093460,10380,413,4.1,2890716,395,472,2026-07-31,2026-08-09 10:17:37
6,1,OLD,20262902,다윗,2026-07-10,59424000,0.8,23293200,64.5,2383973920,6272,2436,63.5,244637,186,207,2026-07-31,2026-08-09 10:17:37
7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,45668700,0.6,6420780,16.4,122675920,4351,438,11.2,12350,61,94,2026-07-31,2026-08-09 10:17:37
8,1,OLD,20242402,눈동자,2026-06-24,25475350,0.3,-1282250,-4.8,15808100000,2375,-305,-11.4,1532388,200,246,2026-07-31,2026-08-09 10:17:37
9,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,17893270,0.2,-11534950,-39.2,350063140,1943,-1501,-43.6,39220,173,178,2026-07-31,2026-08-09 10:17:37
